Nesting_Site_Code;Nest_code;Animal_Species;Plot_Code;Vegetation_Type;VEG;Plant_Code;Tree_Site;Tree_Nest;T_L_R_H;Nest_height;Species_Code;Species;Family;Tree_Height;DBH;Nest_material;Integration;Nest_Type;Nest_Type2
S_Ch_007;N_Ch_019;Chimpanzee;Chim_059;Old secondary forest;OSF;Pl_1499;Pl_1499-S_Ch_007;Pl_1499-N_Ch_019;Tree;7;Esp_163;Heisteria parvifolia;Olacaceae;21;15.92;Tree;Tree;Side;Height
S_Ch_007;N_Ch_020;Chimpanzee;Chim_059;Old secondary forest;OSF;Pl_1514;Pl_1514-S_Ch_007;Pl_1514-N_Ch_020;Tree;15;Esp_163;Heisteria parvifolia;Olacaceae;26;23.6;Tree;Tree;Side;Height
S_Ch_007;N_Ch_021;Chimpanzee;Chim_059;Old secondary forest;OSF;Pl_1514;Pl_1514-S_Ch_007;Pl_1514-N_Ch_021;Tree;17;Esp_163;Heisteria parvifolia;Olacaceae;26;23.6;Tree;Tree;Side;Height
S_Ch_007;N_Ch_022;Chimpanzee;Chim_059;Old secondary forest;OSF;Pl_1514;Pl_1514-S_Ch_007;Pl_1514-N_Ch_022;Tree;16;Esp_163;Heisteria parvifolia;Olacaceae;26;23.6;Tree;Tree;Side;Height
S_Ch_007;N_Ch_023;Chimpanzee;Chim_059;Old secondary forest;OSF;Pl_1482;Pl_1482-S_Ch_007;Pl_1482-N_Ch_023;Tree;12;Esp_163;Heisteria parvifolia;Olacaceae;22;23.57;Tree;Tree;Side;Height
S_Ch_007;N_Ch_024;Chimpanzee;Chim_059;Old secondary forest;OSF;Pl_1479;Pl_1479-S_Ch_007;Pl_1479-N_Ch_024;Liana;12;Esp_250;Neuropeltis acuminata;Convolvulaceae;NA;7.64;Mixed;Tree-Liana;Side-Liana;Height
S_Ch_007;N_Ch_024;Chimpanzee;Chim_059;Old secondary forest;OSF;Pl_1499;Pl_1499-S_Ch_007;Pl_1499-N_Ch_024;Tree;12;Esp_163;Heisteria parvifolia;Olacaceae;21;15.92;Mixed;Tree-Liana;Side-Liana;Height
S_Ch_007;N_Ch_025;Chimpanzee;Chim_059;Old secondary forest;OSF;Pl_1499;Pl_1499-S_Ch_007;Pl_1499-N_Ch_025;Tree;12;Esp_163;Heisteria parvifolia;Olacaceae;21;15.92;Tree;Tree;Side;Height
S_Ch_007;N_Ch_026;Chimpanzee;Chim_059;Old secondary forest;OSF;Pl_1493;Pl_1493-S_Ch_007;Pl_1493-N_Ch_026;Tree;9;Esp_163;Heisteria parvifolia;Olacaceae;23;17.23;Tree;Tree;Side;Height
S_Ch_008;N_Ch_027;Chimpanzee;Chim_071;Old secondary forest;OSF;Pl_1796;Pl_1796-S_Ch_008;Pl_1796-N_Ch_027;Tree;12;Esp_163;Heisteria parvifolia;Olacaceae;20;20.06;Tree;Tree;Side;Height
S_Ch_008;N_Ch_028;Chimpanzee;Chim_071;Old secondary forest;OSF;Pl_1808;Pl_1808-S_Ch_008;Pl_1808-N_Ch_028;Tree;10;Esp_163;Heisteria parvifolia;Olacaceae;24;19.75;Tree;Tree;Side;Height
S_Ch_008;N_Ch_029;Chimpanzee;Chim_071;Old secondary forest;OSF;Pl_1784;Pl_1784-S_Ch_008;Pl_1784-N_Ch_029;Tree;12;Esp_363;Uapaca guineensis;Euphorbiaceae;12;11.78;Tree;Tree-Tree;Top-Side;Height
S_Ch_008;N_Ch_029;Chimpanzee;Chim_071;Old secondary forest;OSF;Pl_1785;Pl_1785-S_Ch_008;Pl_1785-N_Ch_029;Tree;12;Esp_363;Uapaca guineensis;Euphorbiaceae;14;14.01;Tree;Tree-Tree;Top-Side;Height
S_Ch_008;N_Ch_030;Chimpanzee;Chim_071;Old secondary forest;OSF;Pl_1796;Pl_1796-S_Ch_008;Pl_1796-N_Ch_030;Tree;15;Esp_163;Heisteria parvifolia;Olacaceae;30;20.06;Tree;Tree;Side;Height
S_Ch_008;N_Ch_031;Chimpanzee;Chim_071;Old secondary forest;OSF;Pl_1796;Pl_1796-S_Ch_008;Pl_1796-N_Ch_031;Tree;23;Esp_163;Heisteria parvifolia;Olacaceae;30;20.06;Tree;Tree;Side;Height
